PACKAGE_NAME,ALIAS,PROCEDURE_NAME,SUBPROGRAM_TYPE,RETURN_TYPE,ARGUMENT_NAME,DATA_TYPE,IN_OUT,DEFAULT_VALUE,POSITION
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_STATIC_ID,VARCHAR2,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_ID,NUMBER,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_ID,NUMBER,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_ID,NUMBER,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLE,PROCEDURE,,P_ROLE_ID,NUMBER,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_STATIC_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_STATIC_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_STATIC_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,ADD_USER_ROLES,PROCEDURE,,P_ROLE_STATIC_IDS,TABLE,IN,,3
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ANY_ROLES,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_APPLICATION_ID,NUMBER,IN,,1
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
WWV_FLOW_ACL_API,APEX_ACL,HAS_USER_ROLE,FUNCTION,PL/SQL BOOLEAN,P_USER_NAME,VARCHAR2,IN,,2
